Satellite Name,Orbital Location,Beam Name,Type,Frequency Range (MHz),EIRP (dBW) / G/T (dB/K),Service Area 1,Service Area 2,Service Area 3,Service Area 4,Service Area 5,Service Area 6,Band,Bandwidth Capacity (MHz),Modulation,FEC,Integrated
AFRISTAR-2,21,AU2,Receive,7025.0 - 7075.0,-10.0 (G/T),Global,,,,,,C-Band,72,QPSK,0.42,0
AFRISTAR-2,21,SD1,Transmit,1452.0 - 1492.0,59.8 (EIRP),Global,,,,,,L-Band,2.6,QPSK,0.42,0
AFRISTAR-2,21,DD2,Transmit,1452.0 - 1492.0,-2.0 (EIRP),Global,,,,,,L-Band,0.5,QPSK,0.42,0
AMAZONAS NEXUS,-61,US3V,Receive,13750.0 - 14500.0,11.1 (G/T),Continental United States,Atlantic Ocean,,,,,Ku-Band,36,QPSK,0.667,0
AMAZONAS NEXUS,-61,WB1V,Receive,14000.0 - 14250.0,5.1 (G/T),Continental United States,,,,,,Ku-Band,36,QPSK,0.667,0
AMAZONAS NEXUS,-61,US1V,Receive,13750.0 - 14500.0,17.4 (G/T),Continental United States,Caribbean,,,,,Ku-Band,36,QPSK,0.667,0
AMAZONAS NEXUS,-61,GW1L,Receive,27500.0 - 28600.0,18.2 (G/T),Continental United States,,,,,,Ka-Band,1100,QPSK,0.667,0
AMAZONAS NEXUS,-61,WB1H,Receive,14000.0 - 14250.0,5.1 (G/T),Continental United States,,,,,,Ku-Band,36,QPSK,0.667,0
AMAZONAS NEXUS,-61,US1H,Receive,13750.0 - 14500.0,17.4 (G/T),Continental United States,Caribbean,,,,,Ku-Band,36,QPSK,0.667,0
AMAZONAS NEXUS,-61,GW1R,Receive,27500.0 - 28600.0,18.2 (G/T),Continental United States,,,,,,Ka-Band,1100,QPSK,0.667,0
AMAZONAS NEXUS,-61,US3H,Receive,13750.0 - 14500.0,11.1 (G/T),Puerto Rico,Caribbean,,,,,Ku-Band,36,QPSK,0.667,0
AMAZONAS NEXUS,-61,WB2V,Transmit,11700.0 - 11950.0,53.3 (EIRP),Continental United States,,,,,,X-Band,36,QPSK,0.667,0
AMAZONAS NEXUS,-61,US2V,Transmit,10700.0 - 12200.0,64.1 (EIRP),Continental United States,Caribbean,,,,,"X-Band, Ku-Band",36,QPSK,0.667,0
AMAZONAS NEXUS,-61,GW2L,Transmit,17850.0 - 18800.0,64.4 (EIRP),Continental United States,,,,,,Ku-Band,950,QPSK,0.667,0
AMAZONAS NEXUS,-61,WB2H,Transmit,11700.0 - 11950.0,53.3 (EIRP),Continental United States,,,,,,X-Band,36,QPSK,0.667,0
AMAZONAS NEXUS,-61,US2H,Transmit,10700.0 - 12200.0,64.1 (EIRP),Continental United States,Caribbean,,,,,"X-Band, Ku-Band",36,QPSK,0.667,0
AMAZONAS NEXUS,-61,GW2R,Transmit,17850.0 - 18800.0,64.4 (EIRP),Continental United States,,,,,,Ku-Band,950,QPSK,0.667,0
AMAZONAS NEXUS,-61,US4V,Transmit,10700.0 - 12200.0,62.8 (EIRP),Puerto Rico,Caribbean,,,,,"X-Band, Ku-Band",36,QPSK,0.667,0
AMAZONAS NEXUS,-61,US4H,Transmit,10700.0 - 12200.0,62.8 (EIRP),Continental United States,Atlantic Ocean,,,,,"X-Band, Ku-Band",36,QPSK,0.667,0
AMAZONAS-2,-61,KURV,Receive,12750.0 - 13000.0,6.7 (G/T),Continental United States,Puerto Rico,,,,,Ku-Band,36,QPSK,0.5,0
AMAZONAS-2,-61,KURH,Receive,12750.0 - 13250.0,6.7 (G/T),Continental United States,Puerto Rico,,,,,Ku-Band,36,QPSK,0.5,0
AMAZONAS-2,-61,KUTH,Transmit,10700.0 - 10950.0,52.0 (EIRP),Continental United States,Puerto Rico,,,,,X-Band,36,QPSK,0.5,0
AMAZONAS-2,-61,KUTv,Transmit,10700.0 - 10950.0,52.0 (EIRP),Continental United States,Puerto Rico,,,,,X-Band,36,QPSK,0.5,0
AMAZONAS-2,-61,KUT,Transmit,11200.0 - 11450.0,52.0 (EIRP),Continental United States,Puerto Rico,,,,,X-Band,36,QPSK,0.5,0
AMAZONAS-3,-61,CRH,Receive,5850.0 - 6425.0,-1.0 (G/T),Global,,,,,,C-Band,54,QPSK,0.66666667,0
AMAZONAS-3,-61,CRV,Receive,5850.0 - 6425.0,-1.0 (G/T),Global,,,,,,C-Band,54,QPSK,0.66666667,0
AMAZONAS-3,-61,KUR,Receive,14000.0 - 14500.0,4.7 (G/T),Global,,,,,,Ku-Band,54,QPSK,0.66666667,0
AMAZONAS-3,-61,CTH,Transmit,3625.0 - 4200.0,41.0 (EIRP),Global,,,,,,C-Band,54,QPSK,0.66666667,0
AMAZONAS-3,-61,CTV,Transmit,3625.0 - 4200.0,41.0 (EIRP),Global,,,,,,C-Band,54,QPSK,0.66666667,0
AMAZONAS-3,-61,KUT,Transmit,11700.0 - 12200.0,48.0 (EIRP),Global,,,,,,"X-Band, Ku-Band",54,QPSK,0.66666667,0
AMAZONAS-3,-61,KUTV,Transmit,11700.0 - 12200.0,48.0 (EIRP),Global,,,,,,"X-Band, Ku-Band",54,QPSK,0.66666667,0
AMC-11,-111,CMD,Receive,6423.0 - 6424.0,-14.3 (G/T),Global,,,,,,C-Band,0.4,QPSK,0.66666667,1
AMC-11,-111,ARV,Receive,5925.0 - 6425.0,5.2 (G/T),North America,,,,,,C-Band,36,QPSK,0.66666667,1
AMC-11,-111,ARH,Receive,5925.0 - 6425.0,5.2 (G/T),North America,,,,,,C-Band,36,QPSK,0.66666667,1
AMC-11,-111,ATH,Transmit,3700.0 - 4200.0,42.5 (EIRP),North America,,,,,,C-Band,36,QPSK,0.66666667,1
AMC-11,-111,ATV,Transmit,3700.0 - 4200.0,42.5 (EIRP),North America,,,,,,C-Band,36,QPSK,0.66666667,1
AMC-11,-111,TM1,Transmit,3700.0 - 3701.0,13.0 (EIRP),Global,,,,,,L-Band,0.12,QPSK,0.66666667,1
AMC-11,-111,TM2,Transmit,4199.0 - 4200.0,13.0 (EIRP),Global,,,,,,C-Band,0.12,QPSK,0.66666667,1
AMC-11,-111,TM3,Transmit,4199.0 - 4200.0,13.0 (EIRP),Global,,,,,,C-Band,0.12,QPSK,0.66666667,1
AMC-15,-105.05,TC1,Receive,14001.1 - 14001.9,0.0 (G/T),Global,,,,,,Ku-Band,0.8,QPSK,0.5,1
AMC-15,-105.05,KURV,Receive,14000.0 - 14500.0,6.06 (G/T),North America,Caribbean,Central America,,,,Ku-Band,36,QPSK,0.875,1
AMC-15,-105.05,KURH,Receive,14000.0 - 14500.0,5.98 (G/T),North America,Caribbean,Central America,,,,Ku-Band,36,QPSK,0.875,1
AMC-15,-105.05,2AU,Receive,29500.0 - 30000.0,17.34 (G/T),North America,Caribbean,Central America,,,,Ka-Band,125,QPSK,0.875,1
AMC-15,-105.05,1AU,Receive,28400.0 - 28600.0,17.34 (G/T),North America,Caribbean,Central America,,,,Ka-Band,125,QPSK,0.875,1
AMC-15,-105.05,KUTV,Transmit,11700.0 - 12200.0,52.72 (EIRP),North America,Caribbean,Central America,,,,"X-Band, Ku-Band",36,QPSK,0.875,1
AMC-15,-105.05,KUTH,Transmit,11700.0 - 12200.0,51.91 (EIRP),North America,Caribbean,Central America,,,,"X-Band, Ku-Band",36,QPSK,0.875,1
AMC-15,-105.05,1BD,Transmit,18580.0 - 18800.0,61.74 (EIRP),North America,Caribbean,Central America,,,,Ku-Band,125,QPSK,0.875,1
AMC-15,-105.05,2BD,Transmit,19700.0 - 20200.0,61.74 (EIRP),North America,Caribbean,Central America,,,,Ku-Band,125,QPSK,0.875,1
AMC-18,-83,CMD,Receive,6422.5 - 6424.5,-12.6 (G/T),Global,,,,,,C-Band,2,QPSK,0.69,1
AMC-18,-83,CRV,Receive,5925.0 - 6425.0,3.83 (G/T),Continental United States,Canada,,,,,C-Band,500,QPSK,0.69,1
AMC-18,-83,CRH,Receive,5925.0 - 6425.0,3.84 (G/T),Continental United States,Canada,,,,,C-Band,500,QPSK,0.69,1
AMC-18,-83,CTM,Transmit,3700.0 - 4200.0,6.0 (EIRP),Global,,,,,,C-Band,500,QPSK,0.69,1
AMC-18,-83,CTH,Transmit,3700.0 - 4200.0,41.68 (EIRP),Continental United States,Canada,,,,,C-Band,500,QPSK,0.69,1
AMC-18,-83,CTV,Transmit,3700.0 - 4200.0,41.89 (EIRP),Continental United States,Canada,,,,,C-Band,500,QPSK,0.69,1
AMC-4,-135,KSRH,Receive,13750.0 - 14500.0,4.85 (G/T),Pacific Ocean,North America,,,,,Ku-Band,36,QPSK,0.5,1
AMC-4,-135,KSRV,Receive,13750.0 - 14500.0,5.16 (G/T),Pacific Ocean,North America,,,,,Ku-Band,36,QPSK,0.5,1
AMC-4,-135,CRH,Receive,5925.0 - 6425.0,5.86 (G/T),Pacific Ocean,North America,Caribbean,,,,C-Band,36,QPSK,0.5,1
AMC-4,-135,KNRH,Receive,13750.0 - 14500.0,5.92 (G/T),Pacific Ocean,North America,,,,,Ku-Band,36,QPSK,0.5,1
AMC-4,-135,CRV,Receive,5925.0 - 6425.0,5.46 (G/T),Pacific Ocean,North America,Caribbean,,,,C-Band,36,QPSK,0.5,1
AMC-4,-135,KNRV,Receive,13750.0 - 14500.0,5.59 (G/T),Pacific Ocean,North America,,,,,Ku-Band,36,QPSK,0.5,1
AMC-4,-135,CMD,Receive,6422.5 - 6424.5,-17.0 (G/T),Global,,,,,,C-Band,0.8,QPSK,0.5,1
AMC-4,-135,CTV,Transmit,3700.0 - 4200.0,41.72 (EIRP),Pacific Ocean,North America,,,,,C-Band,36,QPSK,0.5,1
